,Time_UTC,Lat,Lon,Distance,Speed,Acceleration,Hacc,HDOP,SVNum
2023-06-13 16:20:23.000,9,35.560559,139.546905,0.0,0.273,-0.087,1.5,1.0,9.0
2023-06-13 16:20:23.100,9,35.560558,139.546905,0.0,0.184,-0.073,1.5,1.0,9.0
2023-06-13 16:20:23.200,9,35.560558,139.546905,0.0,0.141,-0.052,1.5,1.0,9.0
2023-06-13 16:20:23.300,9,35.560557,139.546905,0.0,0.152,-0.029,1.5,1.0,9.0
2023-06-13 16:20:23.400,9,35.560557,139.546905,0.0,0.208,-0.008,1.4,1.0,9.0
2023-06-13 16:20:23.500,9,35.560556,139.546905,0.0,0.285,0.008,1.4,1.0,9.0
2023-06-13 16:20:23.600,9,35.560556,139.546905,0.0,0.355,0.018,1.4,1.0,9.0
2023-06-13 16:20:23.700,9,35.560555,139.546905,0.0,0.395,0.02,1.4,1.0,9.0
2023-06-13 16:20:23.800,9,35.560555,139.546905,0.0,0.395,0.015,1.4,1.0,9.0
2023-06-13 16:20:23.900,9,35.560554,139.546905,0.0,0.359,0.005,1.4,1.0,9.0
2023-06-13 16:20:24.000,9,35.560554,139.546904,0.0,0.303,-0.006,1.4,1.0,9.0
2023-06-13 16:20:24.100,9,35.560554,139.546905,0.0,0.248,-0.016,1.4,1.0,9.0
2023-06-13 16:20:24.200,9,35.560554,139.546905,0.0,0.213,-0.02,1.4,1.0,9.0
2023-06-13 16:20:24.300,9,35.560554,139.546905,0.0,0.206,-0.019,1.4,1.0,9.0
2023-06-13 16:20:24.400,9,35.560553,139.546905,0.0,0.226,-0.014,1.4,1.0,9.0
2023-06-13 16:20:24.500,9,35.560553,139.546905,0.0,0.262,-0.006,1.4,1.0,9.0
2023-06-13 16:20:24.600,9,35.560553,139.546905,0.0,0.299,-0.0,1.4,1.0,9.0
2023-06-13 16:20:24.700,9,35.560553,139.546905,0.0,0.323,0.003,1.4,1.0,9.0
2023-06-13 16:20:24.800,9,35.560553,139.546905,0.0,0.327,0.002,1.4,1.0,9.0
2023-06-13 16:20:24.900,9,35.560553,139.546904,0.0,0.31,-0.002,1.4,1.0,9.0
2023-06-13 16:20:25.000,9,35.560553,139.546904,0.0,0.28,-0.007,1.4,1.0,9.0
2023-06-13 16:20:25.100,9,35.560553,139.546904,0.0,0.247,-0.012,1.4,1.0,9.0
2023-06-13 16:20:25.200,9,35.560553,139.546904,0.0,0.222,-0.016,1.4,1.0,9.0
2023-06-13 16:20:25.300,9,35.560553,139.546904,0.0,0.213,-0.019,1.3,1.0,9.0
2023-06-13 16:20:25.400,9,35.560553,139.546904,0.0,0.22,-0.02,1.3,1.0,9.0
2023-06-13 16:20:25.500,9,35.560553,139.546904,0.0,0.238,-0.02,1.3,1.0,9.0
2023-06-13 16:20:25.600,9,35.560552,139.546904,0.0,0.255,-0.02,1.3,1.0,9.0
2023-06-13 16:20:25.700,9,35.560552,139.546904,0.0,0.264,-0.02,1.3,1.0,9.0
2023-06-13 16:20:25.800,9,35.560552,139.546904,0.0,0.258,-0.021,1.3,1.0,9.0
2023-06-13 16:20:25.900,9,35.560552,139.546904,0.0,0.237,-0.023,1.3,1.0,9.0
2023-06-13 16:20:26.000,9,35.560552,139.546904,0.0,0.206,-0.024,1.3,1.0,9.0
2023-06-13 16:20:26.100,9,35.560552,139.546904,0.0,0.174,-0.025,1.3,1.0,9.0
2023-06-13 16:20:26.200,9,35.560552,139.546904,0.0,0.15,-0.024,1.3,1.0,9.0
2023-06-13 16:20:26.300,9,35.560552,139.546904,0.0,0.137,-0.022,1.3,1.0,9.0
2023-06-13 16:20:26.400,9,35.560552,139.546904,0.0,0.139,-0.019,1.3,1.0,9.0
